Timestamp,Application,Target Freq (MHz),Achieved Freq (MHz),Min Latency (cycles),Max Latency (cycles),Avg Latency (cycles),Compile Time,HLS FF,HLS LUT,HLS BRAM,HLS DSP,Impl FF,Impl LUT,Impl BRAM,Impl DSP
20260716_152026,stitch,150,116.26,230,40234447596,N/A,1h 49m 28s,24752,31192,4,68,15433,18714,2,65
20260716_070558,localization,300,300,26786,9132671,N/A,1h 56m 56s,90295,134656,638,178,65769,46297,292,182
20260716_043518,svm,300,300,84,84,N/A,1h 46m 57s,13660,9395,5,78,30402,24356,143,139
20260714_072254,mser,300,300,2207,76207143775,N/A,2h 11m 56s,42343,53130,50,3,52403,45274,25,3
